ETSY,US29786A1060,20210112,457,205.15,93753.55
IWV,US4642876894,20210112,12127,228.59,2772110.93
MPW,US58463J3041,20210112,3000,20.68,62040
PFE,US7170811035,20210112,2350,37.18,87373
WMT,US9311421039,20210112,204,148.97,30389.88
WWE,US98156Q1085,20210112,2027,48.71,98735.17
SFIX,US8608971078,20210112,-900,66.88,-60192
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
COG,US1270971039,20210113,2742,18.92,51878.64
ETSY,US29786A1060,20210113,457,207.03,94612.71
IWV,US4642876894,20210113,12127,228.66,2772959.82
MPW,US58463J3041,20210113,3000,21.21,63630
PFE,US7170811035,20210113,2350,36.86,86621
WMT,US9311421039,20210113,204,147.45,30079.8
WWE,US98156Q1085,20210113,2027,50.18,101714.86
